	Series1_NHBE_Mock_1	Series1_NHBE_Mock_2	Series1_NHBE_Mock_3	Series1_NHBE_SARS-CoV-2_1	Series1_NHBE_SARS-CoV-2_2	Series1_NHBE_SARS-CoV-2_3
BPIFB4	0	1	0	1	0	0
BPIFA2	5	0	3	4	2	9
BPIFA4P	0	0	0	0	0	0
BPIFA3	0	0	0	0	0	0
BPIFA1	25	23	23	26	33	90
BPIFB1	3	4	1	3	2	5
CDK5RAP1	304	248	426	299	278	920
SNTA1	69	88	103	83	62	215
CBFA2T2	391	385	558	338	284	971
NECAB3	27	38	45	34	23	99
C20orf144	0	0	0	0	0	0
ACTL10	4	4	5	4	3	17
E2F1	36	21	39	34	21	90
PXMP4	219	192	339	129	138	475
ZNF341	59	55	104	74	48	187
CHMP4B	2478	2098	2947	2098	2290	6883
RALY	1250	1139	1712	1097	1091	3058
MIR4755	0	0	0	0	0	0
EIF2S2	2814	2517	4510	2279	2630	8023
ASIP	0	0	0	0	0	2
AHCY	5565	5165	8139	4773	4878	13858
ITCH	1963	1662	2960	1468	1670	4640
MIR644A	0	0	0	0	0	0
DYNLRB1	1256	1225	2040	1231	1087	3380
MAP1LC3A	57	59	73	43	54	137
PIGU	231	275	400	209	226	542
TP53INP2	972	840	1294	915	816	2578
NCOA6	1462	1379	2057	1345	1340	3818
HMGB3P1	0	0	0	0	0	0
GGT7	32	36	49	42	19	56
ACSS2	792	684	935	628	762	2108
GSS	699	549	993	556	618	1806
MYH7B	0	3	0	0	1	5
MIR499A	0	0	0	0	0	0
MIR499B	0	0	0	0	0	0
TRPC4AP	1258	1280	1986	1188	1124	3372
EDEM2	292	224	379	239	272	794
PROCR	409	357	535	381	373	1184
MMP24	8	7	2	6	5	7
EIF6	1293	1048	1843	1263	1115	3593
FAM83C	6	4	1	1	1	12
GDF5	2	7	3	3	0	3
CEP250	839	702	1189	714	628	1736
C20orf173	0	0	0	0	0	0
ERGIC3	1756	1667	2316	1648	1554	4453
SPAG4	66	63	33	48	36	141
CPNE1	845	865	1357	870	821	2356
RBM12	1220	1001	1763	974	1141	3329
NFS1	553	458	694	484	470	1295
ROMO1	636	600	842	614	400	1395
RBM39	2679	2530	4097	2351	2389	6531
PHF20	832	660	1077	653	677	1954
SCAND1	50	43	72	96	32	123
CNBD2	0	1	2	0	0	0
EPB41L1	704	622	927	545	492	1551
AAR2	340	258	497	254	254	738
DLGAP4	1196	1231	1686	1392	1088	3495
MYL9	47	38	47	40	27	105
TGIF2	375	322	572	367	360	1141
SLA2	3	4	1	2	0	10
NDRG3	906	908	1392	700	747	2248
DSN1	73	63	107	60	68	162
SOGA1	366	338	602	410	350	1028
SAMHD1	96	119	217	191	174	570
RBL1	72	77	101	62	59	201
MROH8	9	6	8	3	4	13
RPN2	3312	2854	4289	2652	2780	8165
GHRH	0	0	0	0	0	0
MANBAL	550	425	665	534	502	1347
SRC	1440	1344	2048	1542	1343	4150
BLCAP	1177	1235	1772	1124	1089	3242
NNAT	5	2	6	5	3	20
LINC00489	0	0	0	0	0	0
LOC100287792	0	0	0	0	0	0
CTNNBL1	632	515	936	564	614	1819
VSTM2L	241	240	314	250	140	397
TTI1	290	308	421	264	271	840
RPRD1B	525	516	863	400	431	1173
TGM2	2475	1776	3087	3494	2700	8918
KIAA1755	0	0	2	0	0	5
BPI	0	1	0	0	0	0
LBP	0	0	0	0	0	0
SNORA71B	0	0	1	0	2	11
SNORA71A	2	0	2	2	1	0
SNORA71C	0	1	1	1	3	8
SNORA71D	0	0	0	0	0	0
SNHG11	45	69	43	54	46	79
SNORA60	0	0	16	0	3	1
RALGAPB	1007	1021	1953	853	909	2825
ADIG	0	0	0	0	0	0
ARHGAP40	91	83	121	101	88	323
SLC32A1	0	0	0	0	0	0
ACTR5	80	79	109	67	73	200
PPP1R16B	2	1	3	3	1	11
FAM83D	119	117	156	88	89	314
DHX35	132	106	204	95	125	298
MAFB	21	21	20	20	8	40
TOP1	2656	2212	4086	2134	2450	6947
PLCG1	1826	1693	2238	1615	1551	3990
ZHX3	539	402	751	471	440	1259
LPIN3	884	1027	1335	969	885	2765
EMILIN3	11	17	2	5	10	5
CHD6	1119	922	1592	801	887	2605
PTPRT	0	0	0	0	1	0
SRSF6	1219	1132	1890	1013	1042	3218
L3MBTL1	38	83	64	47	33	136
SGK2	3	4	2	0	0	3
IFT52	100	82	186	88	92	232
MYBL2	113	120	144	119	87	256
GTSF1L	0	0	0	0	0	0
TOX2	6	6	7	7	2	3
JPH2	9	15	17	9	6	26
GDAP1L1	0	0	0	0	0	0
FITM2	31	29	42	26	22	76
R3HDML	0	0	0	0	0	0
HNF4A	1	0	0	0	0	3
MIR3646	0	0	0	0	0	0
TTPAL	443	367	752	341	425	1198
SERINC3	1108	1193	2255	1085	953	3091
PKIG	77	74	101	71	69	232
ADA	241	229	317	227	220	655
WISP2	6	3	14	3	6	14
KCNK15	2	0	1	3	3	9
RIMS4	1	0	0	1	1	1
YWHAB	4284	3972	7522	3735	3798	11824
PABPC1L	110	173	174	116	106	357
TOMM34	610	417	781	500	496	1411
STK4-AS1	2	6	2	2	2	5
STK4	753	640	1210	662	611	1937
KCNS1	7	4	1	4	4	23
WFDC5	5	8	7	12	6	13
WFDC12	0	3	2	1	2	4
PI3	24	37	28	80	78	250
SEMG1	0	0	0	0	0	0
SEMG2	0	0	0	0	0	0
SLPI	1226	1064	1543	1535	1456	4195
MATN4	0	0	3	1	0	0
RBPJL	0	0	0	0	0	0
SDC4	5048	4428	6395	5375	5578	13907
SYS1	294	273	356	242	236	747
SYS1-DBNDD2	0	0	0	0	0	0
TP53TG5	0	0	0	0	0	0
DBNDD2	1	3	2	1	7	19
PIGT	1357	1313	1688	1337	1152	3443
WFDC2	113	74	87	88	78	145
SPINT3	0	0	0	0	0	0
WFDC6	0	0	0	0	0	0
EPPIN-WFDC6	0	0	0	0	0	0
EPPIN	0	0	0	0	0	0
WFDC8	0	0	0	0	0	0
WFDC9	0	0	0	0	0	0
WFDC10A	0	0	0	0	0	0
WFDC11	0	0	0	0	0	0
WFDC10B	1	4	2	0	2	9
WFDC13	0	0	0	0	0	0
SPINT4	0	0	0	0	0	0
WFDC3	9	21	19	12	11	33
DNTTIP1	264	246	436	246	232	791
UBE2C	147	149	211	110	120	293
TNNC2	2	1	1	0	0	4
SNX21	76	104	112	101	63	172
ACOT8	111	107	168	111	88	272
ZSWIM3	51	56	62	49	38	111
ZSWIM1	263	244	236	186	175	510
SPATA25	3	5	1	6	2	5
NEURL2	10	5	14	11	6	23
CTSA	1635	1557	2121	1213	1207	3499
PLTP	440	420	556	499	413	1144
PCIF1	166	162	222	168	141	426
ZNF335	273	279	385	336	216	849
MMP9	85	105	117	547	342	826
SLC12A5	1	0	0	0	0	2
NCOA5	439	375	685	381	381	1113
CD40	75	80	131	92	83	266
CDH22	0	0	0	0	0	0
SLC35C2	400	422	548	419	350	1091
ELMO2	567	556	728	447	461	1377
MKRN7P	3	5	1	10	6	18
ZNF334	216	195	346	134	190	563
OCSTAMP	0	0	0	0	0	0
SLC13A3	73	76	74	69	60	212
TP53RK	123	126	259	160	139	499
SLC2A10	167	165	219	123	133	371
EYA2	727	739	1112	573	584	1574
MIR3616	0	0	0	0	0	0
ZMYND8	3073	2586	4156	2780	2960	8140
LOC100131496	0	6	0	0	3	11
NCOA3	1352	1372	1985	1046	1058	3249
SULF2	3092	3076	4572	2486	2150	6144
LINC00494	0	0	0	0	0	0
PREX1	2	2	5	3	3	10
ARFGEF2	719	603	1146	546	591	1629
CSE1L	748	859	2084	835	772	2277
STAU1	2509	2150	3206	2055	2161	6311
DDX27	1695	1524	2248	1483	1675	4793
ZNFX1	1817	1706	2498	1748	1824	5422
ZFAS1	1077	879	1784	1028	943	2755
SNORD12C	0	0	0	0	0	0
SNORD12B	4	0	0	2	5	6
SNORD12	4	1	7	3	2	14
KCNB1	0	0	0	0	1	1
PTGIS	0	0	0	0	0	0
B4GALT5	1446	1383	2350	1296	1430	4257
SLC9A8	197	191	272	195	194	595
SPATA2	88	119	160	130	80	347
RNF114	445	427	653	459	434	1253
SNAI1	0	2	4	3	1	5
UBE2V1	2	3	17	6	6	11
TMEM189-UBE2V1	0	0	0	0	0	0
TMEM189	1782	1674	2372	1844	1792	4992
CEBPB	251	208	399	326	251	766
PTPN1	2006	1837	2970	1556	1615	5110
MIR645	0	0	0	0	1	0
PARD6B	14	38	69	28	18	45
BCAS4	97	105	140	83	56	210
ADNP	1238	1080	1972	957	1022	2949
DPM1	729	715	1480	693	702	1717
MOCS3	136	99	195	98	81	298
KCNG1	27	37	32	50	26	116
NFATC2	8	5	6	3	9	4
MIR3194	0	0	0	0	0	0
ATP9A	957	886	1350	686	767	2191
SALL4	11	12	11	9	9	31
ZFP64	589	509	849	577	489	1520
TSHZ2	85	76	129	63	87	204
ZNF217	1311	1256	2538	1310	1231	3489
SUMO1P1	0	0	0	0	0	0
BCAS1	164	161	235	125	151	329
MIR4756	0	0	0	0	0	0
CYP24A1	1084	1006	1528	996	799	2617
PFDN4	161	242	767	197	218	551
DOK5	0	0	0	0	0	0
CBLN4	0	0	0	0	0	0
MC3R	0	0	0	0	0	0
FAM210B	823	813	1545	622	728	1993
AURKA	351	295	422	240	252	831
CSTF1	293	275	594	271	294	761
CASS4	14	7	15	7	2	13
GCNT7	0	0	0	0	1	0
FAM209A	1	2	7	0	3	7
FAM209B	6	7	6	3	4	7
TFAP2C	247	201	305	203	203	550
BMP7	19	17	19	5	9	18
MIR4325	0	0	0	0	0	0
SPO11	0	0	0	0	0	0
RAE1	447	391	600	364	396	1109
MTRNR2L3	0	0	0	0	0	0
RBM38	169	200	269	230	128	438
CTCFL	0	0	0	0	0	0
PCK1	0	0	0	0	0	0
ZBP1	0	0	0	0	0	0
PMEPA1	2951	2572	4419	3069	2808	8246
C20orf85	0	0	0	0	0	0
PPP4R1L	72	91	127	83	71	221
RAB22A	541	686	1326	506	519	1474
VAPB	1081	989	1949	913	1020	2785
APCDD1L	24	22	40	17	24	79
STX16	530	606	960	470	470	1482
STX16-NPEPL1	4	2	5	1	2	3
NPEPL1	0	0	3	1	1	4
MIR296	2	0	4	0	0	1
MIR298	0	0	0	0	1	1
GNAS-AS1	7	0	13	3	1	21
GNAS	7545	6723	11408	7134	6577	19995
NELFCD	765	588	1049	640	664	1900
CTSZ	4511	4093	6056	3828	4304	12144
TUBB1	1	2	0	0	0	0
SLMO2-ATP5E	0	0	0	0	0	0
ZNF831	0	0	0	0	0	0
EDN3	0	0	0	0	0	0
PHACTR3	66	40	82	43	51	141
LOC100506384	0	0	0	0	0	0
SYCP2	2	6	7	4	3	2
FAM217B	123	123	226	88	122	294
PPP1R3D	101	83	127	82	69	267
CDH26	39	44	78	41	27	127
C20orf197	2	6	12	4	13	58
MIR4533	0	0	0	0	0	0
CDH4	45	31	78	51	45	132
MIR1257	0	0	0	0	0	0
TAF4	185	163	282	158	169	466
LSM14B	329	293	463	313	283	907
PSMA7	1160	904	1516	1055	971	3058
SS18L1	106	120	196	142	124	278
HRH3	0	0	0	0	0	0
OSBPL2	995	909	1324	952	967	2900
ADRM1	763	813	1123	1133	653	2040
LAMA5	2698	3388	4212	3667	2027	6486
MIR4758	0	0	0	0	0	0
RPS21	2749	2371	3319	2055	1905	6497
CABLES2	81	85	121	59	44	168
RBBP8NL	11	8	18	16	8	17
GATA5	0	0	0	0	0	0
MIR1-1	0	0	0	0	0	0
MIR133A2	0	0	0	0	0	0
SLCO4A1	1	1	0	5	0	12
NTSR1	0	0	0	1	0	0
LINC00659	0	0	0	1	0	0
MRGBP	158	196	251	186	162	503
OGFR	389	444	556	469	307	973
COL9A3	1	0	3	0	0	3
TCFL5	84	107	156	96	97	282
DPH3P1	0	3	0	2	0	0
DIDO1	892	785	1179	841	702	2285
GID8	1457	1389	2032	983	1174	3159
SLC17A9	5	4	13	15	6	34
BHLHE23	0	0	0	0	0	0
LINC00029	0	0	0	0	0	0
HAR1B	1	1	0	2	0	0
HAR1A	0	0	0	1	0	1
MIR124-3	0	0	0	0	0	0
YTHDF1	777	676	1146	757	621	1874
BIRC7	0	1	2	0	0	2
MIR3196	0	0	0	0	0	0
NKAIN4	3	3	3	3	3	1
FLJ16779	7	18	25	10	9	27
ARFGAP1	575	636	694	738	545	1505
MIR4326	0	1	0	1	0	0
COL20A1	1	0	1	0	0	0
CHRNA4	0	0	0	0	0	0
KCNQ2	0	0	0	0	0	0
EEF1A2	14	24	28	36	10	55
PPDPF	1552	1928	2723	1067	1099	3784
PTK6	493	490	659	532	394	1222
SRMS	0	0	0	0	0	0
HELZ2	77	142	152	252	139	551
GMEB2	197	191	224	180	133	406
STMN3	21	24	32	17	12	31
RTEL1	1	2	1	2	0	7
RTEL1-TNFRSF6B	0	2	0	1	0	0
TNFRSF6B	1	2	0	0	0	1
ARFRP1	333	295	429	327	301	884
ZGPAT	152	171	300	228	126	371
LIME1	14	22	21	25	13	29
SLC2A4RG	225	284	390	239	177	511
ZBTB46	7	15	11	12	10	22
ABHD16B	2	0	0	0	0	0
TPD52L2	2162	1751	2647	1924	1921	5540
DNAJC5	1638	1468	2361	1717	1312	3848
MIR941-1	0	0	0	1	0	0
MIR941-3	0	0	0	0	0	0
MIR941-4	0	0	0	0	0	0
MIR941-2	0	0	0	0	0	0
UCKL1	272	336	413	372	232	706
MIR1914	0	3	2	2	0	8
MIR647	5	11	3	1	6	12
UCKL1-AS1	2	7	5	3	1	12
ZNF512B	342	389	539	394	285	903
SAMD10	44	41	51	41	28	124
PRPF6	1022	1012	1519	989	1002	2817
SOX18	0	0	0	0	0	1
TCEA2	35	39	85	47	22	132
RGS19	83	106	164	138	76	284
OPRL1	6	11	19	11	6	18
NPBWR2	0	0	0	0	0	0
MYT1	0	0	0	0	0	0
PCMTD2	176	156	265	159	146	395
LINC00266-1	1	0	1	0	0	0
TEKT4P2	12	18	18	12	14	31
TPTE	0	1	1	0	0	0
BAGE4	0	0	0	0	0	0
BAGE2	0	0	0	0	0	0
BAGE3	0	0	0	0	0	0
BAGE5	0	0	0	0	0	0
BAGE	0	0	0	0	0	0
ANKRD30BP2	0	0	0	0	0	0
MIR3156-3	0	0	0	0	0	0
POTED	0	0	0	0	0	0
ANKRD20A11P	0	0	0	0	0	0
LIPI	0	0	0	0	0	0
RBM11	4	6	6	3	2	7
ABCC13	0	0	0	0	0	0
HSPA13	185	220	313	154	225	548
SAMSN1	0	4	0	1	0	0
SAMSN1-AS1	0	0	0	0	0	0
LOC388813	0	0	0	0	0	0
NRIP1	898	822	1553	774	885	2241
USP25	474	507	996	461	494	1391
MIR99A	0	0	0	0	0	0
MIRLET7C	0	0	0	0	0	0
MIR125B2	0	0	5	0	0	0
CXADR	263	274	533	270	235	635
BTG3	218	204	401	284	269	783
C21orf91-OT1	0	0	2	0	0	0
C21orf91	187	207	438	160	162	369
CHODL-AS1	0	0	0	0	0	0
CHODL	6	6	8	4	3	24
TMPRSS15	0	0	0	0	0	0
LINC00320	0	0	0	0	0	0
NCAM2	4	9	6	0	1	10
LINC00317	0	0	0	0	0	0
LINC00308	0	0	0	0	0	0
D21S2088E	0	0	0	0	0	0
LINC00158	1	0	0	0	0	0
MIR155HG	0	0	0	0	0	1
MIR155	0	0	0	0	0	0
LINC00515	1	0	0	0	4	2
MRPL39	395	392	591	278	308	921
JAM2	0	1	3	0	0	0
GABPA	516	401	799	359	408	1052
APP	24000	20969	33875	20876	21977	61872
CYYR1	16	3	28	11	12	31
ADAMTS1	2448	2120	3816	2147	2282	7372
ADAMTS5	1	0	0	1	0	0
MIR4759	0	0	0	0	0	0
MIR5009	0	0	0	0	0	0
LINC00113	12	25	33	7	5	22
LINC00314	0	0	0	0	0	0
LINC00161	0	0	0	0	0	0
N6AMT1	48	48	66	35	36	109
LTN1	281	353	786	261	266	787
RWDD2B	254	180	478	188	209	628
USP16	364	348	919	366	368	987
CCT8	2027	1842	3674	2096	2155	6060
LINC00189	0	0	0	1	0	0
BACH1	354	299	645	319	396	1020
GRIK1	0	0	0	0	0	0
GRIK1-AS2	1	3	0	2	1	5
GRIK1-AS1	0	0	0	0	0	0
CLDN17	0	0	0	0	0	0
LINC00307	0	0	0	0	0	0
CLDN8	21	15	3	9	4	23
KRTAP24-1	0	0	0	0	0	0
KRTAP25-1	0	0	0	0	0	0
KRTAP26-1	0	0	0	0	0	0
KRTAP27-1	0	0	0	0	0	0
KRTAP23-1	0	0	0	0	0	0
KRTAP13-2	0	0	0	0	0	0
MIR4327	0	0	0	0	0	0
KRTAP13-1	0	0	0	0	0	0
KRTAP13-3	0	0	0	0	0	0
KRTAP13-4	0	0	0	0	0	0
KRTAP15-1	0	0	0	0	0	0
KRTAP19-1	0	0	0	1	1	3
KRTAP19-2	0	0	0	0	0	0
KRTAP19-3	0	0	0	0	0	0
KRTAP19-4	0	0	0	0	0	0
KRTAP19-5	0	0	0	0	0	0
KRTAP19-6	0	0	0	0	0	0
KRTAP19-7	0	0	0	0	0	0
KRTAP22-2	0	0	0	0	0	0
KRTAP6-3	0	0	0	0	0	0
KRTAP6-2	0	0	0	0	0	0
KRTAP22-1	0	0	0	0	0	0
KRTAP6-1	0	0	0	0	0	0
KRTAP20-1	0	0	0	0	0	0
KRTAP20-4	0	0	0	0	0	0
KRTAP20-2	0	0	0	0	0	0
KRTAP20-3	0	0	0	0	0	0
KRTAP21-3	0	0	0	0	0	0
KRTAP21-2	0	0	0	0	0	5
KRTAP21-1	0	0	0	0	0	0
KRTAP8-1	0	0	0	0	0	0
KRTAP7-1	0	1	0	0	0	0
KRTAP11-1	0	0	0	0	0	0
KRTAP19-8	0	0	0	0	0	0
TIAM1	132	121	230	119	111	371
SOD1	2699	2385	3426	2878	2185	6995
SCAF4	716	605	916	605	616	1860
HUNK	0	0	0	1	1	0
LINC00159	0	0	0	0	0	0
MIS18A	103	97	163	86	59	239
MRAP	2	3	0	1	1	5
URB1	796	703	1185	804	721	2160
EVA1C	52	44	55	59	57	178
TCP10L	7	5	6	2	1	14
SYNJ1	184	180	274	150	153	448
PAXBP1-AS1	2	3	17	4	3	16
PAXBP1	264	305	600	243	256	754
C21orf62	0	0	0	0	0	0
OLIG2	0	0	0	0	0	0
OLIG1	0	0	0	0	0	0
IFNAR2	149	127	263	142	197	482
IL10RB	213	212	297	187	165	495
IFNAR1	579	639	874	557	567	1607
IFNGR2	889	705	1139	822	907	2485
TMEM50B	354	297	533	219	244	645
DNAJC28	16	18	32	20	14	34
GART	1674	1370	2696	1443	1617	5100
SON	3876	3752	5890	3472	3690	9797
DONSON	83	86	169	81	88	247
CRYZL1	109	85	179	83	108	269
ITSN1	1110	910	1553	912	893	2755
LINC00649	44	57	82	36	52	131
MRPS6	180	178	300	153	204	540
SLC5A3	170	165	296	147	175	420
LINC00310	1	0	0	0	0	7
KCNE2	0	0	0	0	0	0
KCNE1	0	0	5	0	0	0
RCAN1	413	283	502	366	367	876
CLIC6	5	6	3	9	9	14
LINC00160	8	6	10	1	4	10
RUNX1	773	776	1372	796	680	2120
RUNX1-IT1	0	1	3	2	2	1
LOC100506403	1	0	0	0	0	0
MIR802	0	0	0	0	0	0
SETD4	99	150	190	137	110	369
LOC100133286	6	20	4	4	1	8
CBR1	1091	1069	1753	882	735	2259
CBR3-AS1	14	14	17	15	4	15
CBR3	19	25	23	19	14	36
MORC3	868	857	1506	732	724	2217
CHAF1B	125	102	129	96	83	274
CLDN14	2	2	1	0	2	4
SIM2	9	9	18	5	10	32
HLCS	260	274	434	192	190	605
PIGP	45	76	106	43	54	138
TTC3	2601	2311	4425	2112	2209	6070
DSCR9	0	0	0	2	1	4
DYRK1A	605	557	974	447	529	1460
KCNJ6	0	3	0	1	0	0
DSCR4	0	0	0	0	0	0
DSCR8	0	0	0	0	0	0
DSCR10	0	0	0	0	0	0
KCNJ15	627	469	695	510	556	1656
ERG	17	17	21	12	13	26
LINC00114	0	0	0	0	0	0
ETS2	2076	2169	3377	2145	2126	5344
PSMG1	164	144	324	125	123	368
BRWD1	538	594	1349	603	608	1449
BRWD1-AS1	0	0	0	0	1	0
HMGN1	6785	5654	8044	4438	5516	14433
WRB	94	87	161	72	77	271
LCA5L	3	3	16	7	4	22
SH3BGR	59	67	98	47	42	150
B3GALT5	0	1	0	5	3	4
IGSF5	0	0	0	0	0	0
PCP4	0	0	0	0	0	0
DSCAM	11	9	23	13	21	36
MIR4760	0	0	0	0	0	0
DSCAM-AS1	0	0	0	0	0	1
DSCAM-IT1	0	0	0	0	0	0
LINC00323	1	0	0	0	0	0
MIR3197	0	0	0	0	0	0
BACE2	1061	985	1513	851	890	2644
PLAC4	1	0	3	2	0	0
FAM3B	3	0	0	0	1	0
MX2	10	32	18	68	62	264
MX1	93	149	114	483	523	1755
TMPRSS2	238	172	226	142	124	387
LINC00111	0	0	0	0	0	0
LINC00479	3	8	10	4	4	8
LINC00112	0	0	0	0	0	0
RIPK4	649	688	1005	650	551	1406
PRDM15	207	193	279	194	149	503
C2CD2	310	271	355	252	239	718
ZBTB21	271	295	511	249	251	722
ZNF295-AS1	0	0	0	0	0	0
UMODL1	3	0	0	0	0	0
ABCG1	234	238	354	278	248	679
TFF3	12	11	33	21	7	41
TFF2	0	0	0	0	0	0
TFF1	0	0	0	0	0	0
TMPRSS3	1	0	3	0	0	0
UBASH3A	0	0	0	0	0	0
RSPH1	34	35	51	24	34	66
SLC37A1	228	288	337	297	250	899
PDE9A	33	43	47	52	34	121
WDR4	84	69	122	115	75	238
NDUFV3	563	445	679	431	427	1210
PKNOX1	175	156	324	178	155	539
CBS	58	73	99	73	46	165
U2AF1	751	640	1172	533	673	1929
CRYAA	0	0	0	0	0	0
SIK1	1335	1562	2096	1450	1226	3752
LINC00319	14	16	4	9	6	19
LINC00313	17	9	24	26	24	55
HSF2BP	176	158	241	170	136	448
RRP1B	856	755	1309	784	773	2386
PDXK	1854	1719	2651	1965	1609	4889
CSTB	9254	7752	9556	11174	10661	32122
RRP1	242	243	371	303	263	850
AGPAT3	1033	949	1492	965	854	2576
TRAPPC10	904	729	1200	826	774	2382
PWP2	413	337	583	465	402	1253
ICOSLG	38	32	31	49	36	85
DNMT3L	0	0	0	0	0	0
AIRE	0	0	0	0	0	0
PFKL	1003	1038	1575	1449	853	2778
TRPM2	4	0	3	3	0	3
LRRC3	38	23	49	31	29	69
TSPEAR	1	0	0	0	0	0
KRTAP10-1	0	0	0	0	0	0
KRTAP10-2	0	0	0	0	0	0
KRTAP10-3	0	0	0	0	0	0
KRTAP10-4	0	0	0	0	0	0
KRTAP10-5	0	0	0	0	0	0
KRTAP10-6	0	0	0	0	0	0
KRTAP10-7	0	0	0	0	0	0
KRTAP10-8	0	0	0	0	0	0
KRTAP10-9	0	0	0	0	0	0
KRTAP10-10	0	0	0	0	0	0
KRTAP10-11	0	0	0	0	0	0
KRTAP12-4	0	0	0	0	0	0
KRTAP12-3	0	0	0	0	0	0
KRTAP12-2	0	0	0	0	0	1
KRTAP12-1	0	0	0	0	0	0
KRTAP10-12	0	0	0	0	0	0
UBE2G2	1384	1233	2025	1188	1254	3778
SUMO3	1322	1098	2112	1201	1068	3427
PTTG1IP	3530	3139	4272	3531	3094	8001
ITGB2	8	2	10	18	13	27
ITGB2-AS1	4	3	7	6	0	16
FAM207A	97	97	127	112	101	272
LINC00163	0	0	0	0	0	0
SSR4P1	3	3	10	1	0	1
ADARB1	200	157	277	184	147	488
POFUT2	510	468	645	434	426	1140
LOC642852	286	271	371	220	251	652
COL18A1	213	294	294	241	151	435
COL18A1-AS2	0	0	0	0	0	0
COL18A1-AS1	0	0	0	0	0	0
SLC19A1	62	57	91	78	59	181
LOC100129027	0	0	0	0	0	0
PCBP3	5	3	1	4	4	9
COL6A1	141	158	205	209	122	363
COL6A2	5	3	14	20	5	28
FTCD	0	1	0	0	0	0
SPATC1L	43	34	87	51	31	98
LSS	1711	1622	2516	1999	1671	5336
MCM3AP-AS1	22	29	30	24	15	94
MCM3AP	831	714	1216	727	720	2250
YBEY	159	140	196	117	140	392
C21orf58	25	27	38	17	15	43
PCNT	405	323	579	327	342	894
DIP2A	534	528	889	630	494	1465
DIP2A-IT1	0	0	1	0	0	7
S100B	0	0	0	0	0	0
PRMT2	1184	1154	1862	1125	1020	3260
POTEH	0	0	0	0	0	0
OR11H1	0	0	0	0	0	0
CCT8L2	0	0	0	0	0	0
TPTEP1	343	344	441	363	356	997
ANKRD62P1-PARP4P3	0	0	0	0	0	3
XKR3	0	0	0	0	0	2
HSFY1P1	0	0	0	0	0	0
GAB4	0	0	0	0	0	0
CECR7	19	29	25	22	17	45
IL17RA	434	436	682	361	409	1065
CECR3	0	0	0	0	0	0
CECR2	0	0	0	0	0	0
SLC25A18	1	0	0	1	3	4
ATP6V1E1	1178	1058	2154	964	1019	2978
BCL2L13	943	787	1404	747	758	2232
BID	247	217	362	336	280	889
MIR3198-1	0	0	0	0	2	0
MICAL3	1053	1053	1662	1061	986	2893
MIR648	0	1	0	0	0	0
PEX26	409	392	613	371	354	1044
TUBA8	4	16	14	10	9	34
USP18	30	30	26	34	35	71
GGT3P	0	0	0	0	0	0
DGCR6	13	11	15	14	11	33
PRODH	23	43	52	12	18	23
DGCR5	25	23	38	21	16	67
DGCR9	0	2	0	0	1	8
DGCR10	0	0	0	0	0	0
DGCR2	1066	1086	1604	1204	941	2736
DGCR11	35	43	82	41	49	133
TSSK2	0	0	0	0	0	0
GSC2	0	0	0	0	0	0
SLC25A1	826	905	1309	979	771	2585
CLTCL1	318	327	506	273	261	837
HIRA	466	429	566	536	352	1229
MRPL40	622	535	763	472	464	1644
C22orf39	103	94	182	69	98	276
CDC45	74	51	77	49	57	179
CLDN5	0	0	0	0	0	0
sept-05	0	0	0	0	0	0
SEPT5-GP1BB	16	30	13	20	16	39
GP1BB	0	0	0	0	0	0
TBX1	173	179	247	167	145	472
GNB1L	7	5	17	10	5	19
TXNRD2	106	78	113	105	66	259
COMT	753	720	1069	866	552	1858
MIR4761	0	0	0	0	0	0
ARVCF	54	58	88	74	39	103
TANGO2	266	264	438	237	211	790
MIR185	0	0	0	0	0	0
DGCR8	367	389	600	353	377	1027
MIR3618	0	0	0	0	0	0
MIR1306	0	0	0	0	0	0
TRMT2A	333	367	444	409	269	791
RANBP1	1543	1250	2053	1293	1282	4056
ZDHHC8	232	310	395	367	189	628
LOC284865	0	0	0	0	0	0
RTN4R	22	27	26	26	9	58
MIR1286	0	0	0	0	0	0
DGCR6L	76	77	96	74	38	166
TMEM191B	1	0	0	0	0	0
PI4KAP1	13	15	27	24	12	48
RIMBP3	0	0	1	2	0	2
ZNF74	73	85	156	76	78	218
SCARF2	8	1	2	5	0	4
KLHL22	200	174	226	217	132	517
MED15	1275	1304	1796	1505	1084	3487
POM121L4P	0	0	0	0	0	0
TMEM191A	10	11	15	10	12	10
PI4KA	512	477	700	504	455	1324
SERPIND1	2	0	9	0	1	5
SNAP29	772	660	1080	605	655	1795
CRKL	1513	1394	2179	1346	1383	3843
AIFM3	40	49	68	36	35	76
LZTR1	488	646	871	675	545	1752
THAP7	98	70	102	82	53	207
THAP7-AS1	29	27	45	31	40	96
TUBA3FP	6	4	11	6	4	12
P2RX6	9	12	15	15	9	27
SLC7A4	14	13	23	13	12	34
P2RX6P	0	0	0	0	0	0
BCRP2	0	0	2	0	0	0
POM121L8P	0	0	0	0	0	0
RIMBP3C	0	0	0	0	0	0
RIMBP3B	0	0	0	0	0	0
HIC2	81	78	128	93	61	170
TMEM191C	4	3	6	3	1	3
PI4KAP2	16	27	20	20	19	65
UBE2L3	4110	3154	4551	3116	3610	10761
YDJC	126	154	212	135	97	356
CCDC116	0	0	0	1	1	1
SDF2L1	49	53	67	46	21	98
MIR301B	0	0	0	0	0	0
