#NAME	Case1	Case2	Case3	Case4	Case5	NegCtrl1	NegCtrl2	NegCtrl3	NegCtrl4	NegCtrl5
#CLASS_CvsI	Infected	Infected	Infected	Infected	Infected	Control	Control	Control	Control	Control
LIPC	3	0	2	1	4	9	0	1	0	0
LIPE	13	8	11	2	29	1	1	5	4	0
LIPE-AS1	6	2	14	0	7	1	0	2	0	0
LIPF	5	0	0	0	0	0	0	0	0	0
LIPG	628	165	131	6	203	55	48	12	50	26
LIPH	191	50	154	19	124	32	8	8	48	13
LIPI	0	0	1	0	0	0	0	0	0	0
LIPJ	3	1	0	0	0	0	0	0	0	0
LIPK	0	0	0	0	0	0	1	0	0	0
LIPM	1	0	0	0	1	0	0	0	0	0
LIPN	0	1	3	0	5	1	0	5	1	0
LIPT1	16	8	13	1	20	2	2	3	4	1
LIPT1P1	0	0	0	0	3	2	0	0	0	0
LIPT2	3	2	3	0	2	1	0	1	0	0
LITAF	917	585	626	23	712	238	194	540	264	186
LIX1	0	1	1	0	0	0	0	0	2	0
LIX1L	280	130	129	21	223	81	20	108	71	30
LKAAEAR1	0	0	0	0	0	0	0	0	0	0
LL09NC01-139C3.1	0	0	0	0	0	0	0	0	1	0
LL09NC01-251B2.3	0	0	0	0	0	0	0	0	0	0
LL09NC01-254D11.1	0	0	0	0	0	0	0	0	0	0
LL0XNC01-105G4.3	0	0	0	0	0	0	0	0	0	0
LL0XNC01-116E7.1	2	1	0	0	2	1	0	1	0	0
LL0XNC01-116E7.2	0	0	1	0	1	0	0	0	0	0
LL0XNC01-116E7.4	0	1	0	1	0	0	0	0	0	0
LL0XNC01-116E7.5	0	0	1	0	1	0	0	0	1	0
LL0XNC01-131B10.2	2	5	1	0	4	0	0	0	1	1
LL0XNC01-138C3.2	0	0	0	0	0	0	0	0	0	0
LL0XNC01-16G2.1	0	0	0	1	0	0	0	0	0	0
LL0XNC01-177E8.2	0	0	0	0	0	0	0	0	0	0
LL0XNC01-220B11.1	0	0	0	0	0	0	0	0	0	0
LL0XNC01-221F2.2	0	0	0	0	0	0	0	0	1	0
LL0XNC01-237H1.2	18	11	11	0	26	9	1	4	5	0
LL0XNC01-237H1.3	0	0	0	0	0	0	0	0	0	0
LL0XNC01-240C2.1	0	0	0	0	0	0	0	0	0	0
LL0XNC01-250H12.3	0	0	0	0	0	0	0	0	0	0
LL0XNC01-36H8.1	8	14	10	4	6	3	1	1	13	2
LL0XNC01-37G1.2	0	0	0	0	0	0	0	0	0	0
LL0XNC01-39B3.1	0	0	0	0	0	0	0	0	0	0
LL0XNC01-73E8.1	0	0	0	0	0	0	0	1	1	0
LL0XNC01-7P3.1	16	5	7	0	15	1	1	0	14	2
LL0YNC03-29C1.1	0	0	0	0	0	0	0	0	0	0
LL21NC02-1C16.1	0	0	0	0	0	0	0	0	0	0
LL21NC02-1C16.2	2	0	1	1	0	1	0	0	0	1
LL21NC02-21A1.1	1	1	0	0	1	0	2	0	0	0
LL22NC01-116C6.1	0	0	0	0	0	0	0	0	0	0
LL22NC01-81G9.3	0	0	0	0	0	0	0	0	0	0
LL22NC03-102D1.16	0	0	0	0	0	0	0	0	0	0
LL22NC03-102D1.18	0	0	0	0	0	0	0	0	0	0
LL22NC03-104C7.1	0	0	0	0	0	0	0	0	0	0
LL22NC03-121E8.3	0	0	0	0	0	0	0	0	0	0
LL22NC03-121E8.4	0	0	0	0	0	0	0	0	0	0
LL22NC03-123E1.5	0	0	0	0	0	0	0	0	0	0
LL22NC03-13G6.2	0	0	0	0	0	0	0	0	0	0
LL22NC03-22A12.12	0	0	0	0	0	0	0	0	0	0
LL22NC03-22A12.9	0	0	0	1	0	0	0	0	0	0
LL22NC03-22D1.1	1	0	1	3	3	0	1	0	0	0
LL22NC03-23C6.12	0	0	0	0	0	0	0	0	0	0
LL22NC03-23C6.13	0	0	0	0	0	0	0	0	0	0
LL22NC03-23C6.15	0	0	0	0	0	0	0	0	0	0
LL22NC03-24A12.8	0	0	0	0	0	0	0	0	0	0
LL22NC03-24A12.9	0	0	0	0	0	0	0	0	0	0
LL22NC03-27C5.1	0	1	0	5	1	0	0	0	1	0
LL22NC03-2H8.4	7	0	5	0	1	0	0	0	1	0
LL22NC03-2H8.5	217	58	27	22	116	40	1	28	38	6
LL22NC03-30E12.10	0	0	0	0	0	0	0	0	0	0
LL22NC03-30E12.11	0	0	0	0	0	0	0	0	0	0
LL22NC03-30E12.13	0	0	0	0	0	0	0	0	0	0
LL22NC03-32F9.1	1	0	0	0	0	0	0	0	1	0
LL22NC03-33B6.4	0	0	0	0	0	0	0	0	0	0
LL22NC03-48A11.14	0	0	0	0	0	0	0	0	0	0
LL22NC03-63E9.3	0	0	0	4	0	0	0	0	0	0
LL22NC03-75A1.9	0	0	0	0	0	0	0	0	0	0
LL22NC03-75H12.2	1	0	4	0	8	0	0	0	1	0
LL22NC03-80A10.11	1	0	2	0	0	0	0	0	0	0
LL22NC03-80A10.6	11	16	14	2	20	1	0	2	6	3
LL22NC03-84E4.11	0	0	0	0	0	0	0	0	0	0
LL22NC03-84E4.13	0	0	0	0	0	0	0	0	0	0
LL22NC03-84E4.8	0	0	1	0	0	0	0	0	0	0
LL22NC03-86D4.1	0	0	0	0	0	0	0	0	0	0
LL22NC03-86G7.1	86	50	60	22	95	36	5	30	25	3
LL22NC03-88E1.17	0	0	0	0	0	0	0	0	0	0
LL22NC03-88E1.18	0	0	0	0	1	0	0	0	0	0
LL22NC03-N14H11.1	0	0	0	0	0	0	0	0	0	0
LL22NC03-N64E9.1	0	0	0	0	0	0	0	0	0	0
LLGL1	77	24	58	27	69	36	7	17	23	1
LLGL2	260	91	187	48	190	144	5	42	79	13
LLNLF-136C3.1	0	0	0	0	0	0	0	0	0	0
LLNLF-158E9.1	0	0	0	0	0	0	0	0	0	0
LLNLF-187D8.1	0	0	0	0	0	0	0	0	0	0
LLNLF-18A12.1	0	0	0	0	0	0	0	0	0	0
LLNLF-191E4.2	0	0	0	0	0	0	0	0	0	0
LLNLF-65H9.1	0	0	0	0	0	0	0	0	0	0
LLNLR-246C6.1	5	15	17	7	26	1	1	4	5	0
LLNLR-249E10.1	0	0	0	0	0	0	0	0	0	0
LLNLR-259H9.1	0	0	0	0	0	0	0	0	0	0
LLNLR-260G6.1	2	0	1	0	2	1	0	0	1	0
LLNLR-268E12.1	0	1	1	0	1	0	0	0	0	0
LLNLR-276E7.1	0	0	0	0	0	0	0	0	0	0
LLNLR-276H7.1	0	0	0	1	1	0	0	0	0	0
LLNLR-284B4.1	0	0	0	0	0	0	0	0	0	0
LLNLR-284B4.2	0	0	1	0	1	0	0	0	1	0
LLNLR-285B5.1	0	0	0	0	0	0	0	0	1	0
LLNLR-304A6.1	1	0	0	1	1	0	0	0	1	0
LLNLR-304A6.2	18	28	7	2	19	1	7	4	2	0
LLNLR-304G9.1	0	0	0	0	0	0	0	0	0	0
LLNLR-307A6.1	1	5	0	0	1	0	0	1	0	0
LLNLR-470E3.1	0	0	2	0	0	0	3	0	0	0
LLPH	135	51	69	4	87	23	12	15	39	8
LLPH-AS1	0	1	0	0	0	0	0	0	0	0
LLPHP1	0	0	0	0	0	0	0	0	0	0
LLPHP2	0	0	0	0	1	0	0	0	0	0
LLfos-48D6.2	0	0	0	0	0	0	0	0	0	0
LMAN1	1747	672	1043	54	1253	582	148	311	328	166
LMAN1L	0	0	0	0	0	0	0	0	0	0
LMAN2	1050	385	539	113	691	187	38	92	125	32
LMAN2L	339	55	64	10	70	26	3	9	31	9
LMBR1	225	91	117	24	185	59	17	70	84	21
LMBR1L	183	120	123	21	170	55	9	109	81	12
LMBRD1	295	130	218	10	290	53	13	49	49	34
LMBRD2	211	97	105	4	205	55	8	54	48	12
LMCD1	558	262	302	111	471	396	39	502	264	41
LMCD1-AS1	1	1	0	0	8	1	0	2	2	0
LMF1	23	30	43	12	53	29	1	18	13	0
LMF1-AS1	7	2	3	0	1	2	1	2	1	0
LMF2	109	70	109	30	131	109	0	18	42	10
LMLN	89	48	60	3	81	24	13	19	28	1
LMLN-AS1	0	0	0	0	0	0	0	0	0	0
LMNA	1103	425	782	173	1280	671	56	240	332	57
LMNB1	339	117	427	21	359	62	20	90	55	6
LMNB2	450	125	290	43	332	273	21	59	139	13
LMNTD1	0	0	1	1	2	0	0	1	0	0
LMNTD2	5	2	10	6	2	3	0	1	1	0
LMO1	0	0	0	0	0	0	0	0	0	0
LMO2	212	39	109	43	118	40	14	43	17	18
LMO3	234	316	391	21	456	90	145	21	161	54
LMO4	302	75	176	10	251	90	8	43	47	30
LMO7	3405	1035	1719	205	1926	837	112	344	583	152
LMO7-AS1	0	0	2	0	6	1	0	0	0	0
LMO7DN	0	0	0	0	0	0	0	3	0	0
LMO7DN-IT1	0	0	0	0	0	0	0	0	0	0
LMOD1	882	230	396	102	1144	300	30	299	108	58
LMOD2	1	0	1	0	4	0	0	0	0	0
LMOD3	5	2	8	0	7	2	0	2	1	0
LMTK2	375	139	221	47	288	167	30	103	120	15
LMTK3	8	9	10	21	42	27	0	6	12	1
LMX1A	0	0	1	0	0	0	0	0	0	0
LMX1B	1	2	1	5	1	1	0	0	1	0
LNP1	14	4	19	0	11	2	0	1	4	2
LNPEP	637	450	689	45	755	233	97	350	274	108
LNX1	13	11	13	2	21	1	0	0	4	1
LNX1-AS1	0	0	1	0	0	0	0	0	0	0
LNX1-AS2	0	0	0	0	0	0	0	0	0	0
LNX2	241	92	129	5	140	47	12	46	74	7
LOC100421166	34	3	0	1	56	7	0	6	4	4
LOC124685	0	0	0	0	0	0	0	0	0	0
LOC401913	0	0	0	0	0	0	0	0	0	0
LOC440461	0	0	0	0	0	0	0	0	0	0
LOH12CR1	54	37	55	6	66	24	14	27	26	8
LOH12CR2	1	0	7	0	4	0	0	0	0	0
LONP1	608	146	208	61	415	293	15	87	156	23
LONP2	682	351	405	52	548	256	40	201	225	61
LONRF1	106	42	78	12	130	49	22	99	48	4
LONRF2	36	9	35	2	32	43	3	27	38	2
LONRF2P1	0	0	0	0	0	0	0	0	0	0
LONRF2P2	0	0	0	0	0	0	0	0	0	0
LONRF3	104	29	28	5	91	38	10	42	38	13
LOR	0	0	0	0	0	0	0	0	0	0
LOX	492	216	188	13	309	123	52	179	137	39
LOXHD1	15	8	21	3	11	4	0	7	1	2
LOXL1	61	25	97	4	110	45	1	9	16	0
LOXL1-AS1	12	3	13	1	10	3	0	4	7	1
LOXL2	132	80	106	8	100	42	1	9	40	5
LOXL3	46	38	32	4	67	25	3	2	17	1
LOXL4	37	17	20	6	32	6	2	12	5	2
LPA	0	0	0	0	0	0	0	0	0	0
LPAL2	2	0	3	0	2	1	0	0	0	1
LPAR1	337	101	91	19	244	136	20	63	70	51
LPAR2	38	21	29	8	38	21	0	25	10	1
LPAR3	3	3	4	0	15	1	2	5	1	0
LPAR4	0	1	10	1	3	1	1	0	0	1
LPAR5	7	1	11	2	9	1	0	3	7	0
LPAR6	200	113	151	7	143	36	9	42	28	7
LPCAT1	1015	1045	2480	294	1470	539	159	236	466	123
LPCAT2	135	73	82	3	93	9	16	27	13	13
LPCAT2BP	0	0	1	0	0	0	0	0	0	0
LPCAT3	77	43	65	14	91	18	5	24	26	3
LPCAT4	163	74	72	23	137	41	1	30	21	8
LPGAT1	525	255	369	19	473	160	87	217	169	62
LPHN1	146	32	102	21	116	82	7	37	47	7
LPHN2	1478	572	825	83	1722	258	63	639	290	124
LPHN3	70	12	40	3	53	16	4	35	1	5
LPHN3-AS1	0	0	0	0	0	0	0	0	0	0
LPIN1	752	198	318	32	342	126	8	109	142	36
LPIN2	725	328	523	40	502	171	57	151	187	30
LPIN3	78	44	38	12	80	41	2	26	25	2
LPL	277	241	230	14	386	125	60	225	62	22
LPO	0	0	2	1	5	0	0	0	1	1
LPP	3622	1468	1794	158	3487	1722	459	2007	1222	455
LPP-AS1	4	0	0	0	0	2	0	3	4	0
LPP-AS2	15	14	21	4	15	5	0	1	4	1
LPPR2	111	56	62	22	110	77	7	70	20	5
LPPR3	3	0	5	1	2	1	1	3	0	0
LPPR4	12	0	5	3	8	7	2	0	0	0
LPPR5	0	0	0	0	0	0	0	0	0	0
LPXN	130	55	121	8	146	29	9	27	11	5
LRAT	10	1	2	0	6	0	0	0	5	0
LRBA	803	592	1242	75	1274	386	44	255	197	51
LRCH1	431	141	172	28	304	107	13	209	58	38
LRCH2	180	51	62	6	127	63	11	51	32	12
LRCH3	421	236	342	28	459	180	37	156	131	45
LRCH4	125	82	129	24	135	85	19	69	65	7
LRCOL1	5	0	1	0	4	1	0	1	1	0
LRFN1	7	3	3	0	11	2	1	8	3	1
LRFN2	1	0	1	3	0	0	0	0	0	0
LRFN3	72	27	28	11	39	31	1	9	23	3
LRFN4	16	9	30	2	14	20	2	0	7	0
LRFN5	13	5	9	1	7	14	0	2	4	1
LRG1	51	23	36	23	43	4	5	15	9	13
LRGUK	9	1	5	1	9	0	0	4	1	0
LRIF1	239	36	49	1	69	10	6	25	46	15
LRIG1	255	87	193	21	168	46	19	71	49	8
LRIG2	224	125	183	6	217	76	13	63	88	13
LRIG3	158	60	84	2	162	51	3	13	21	5
LRIT1	0	0	0	1	0	0	0	0	0	0
LRIT2	0	0	1	0	0	0	0	0	0	0
LRIT3	2	0	1	0	3	0	1	0	0	1
LRMP	154	31	72	5	112	13	6	14	4	0
LRP1	12701	4739	4332	974	9411	4301	552	2292	1615	529
LRP10	1203	460	671	165	885	425	47	264	240	29
LRP11	276	81	129	4	117	67	24	53	66	22
LRP12	132	97	85	1	173	51	8	49	49	14
LRP1B	1	0	4	0	15	0	0	4	0	1
LRP2	60	67	224	18	142	100	41	55	56	14
LRP2BP	134	46	40	4	57	24	5	22	55	11
LRP3	16	21	22	5	24	27	0	4	5	0
LRP4	229	23	28	4	24	54	0	19	16	1
LRP4-AS1	2	0	0	0	1	1	0	0	0	0
LRP5	496	158	199	48	229	144	6	81	112	14
LRP5L	37	31	31	1	31	34	5	24	29	0
LRP6	477	222	310	27	492	229	30	149	146	68
LRP8	66	26	48	9	108	35	3	13	19	4
LRPAP1	715	382	515	114	637	239	60	99	155	54
LRPPRC	698	256	406	25	564	250	47	92	217	46
LRR1	18	9	11	1	19	2	4	2	8	5
LRRC1	75	42	23	17	85	29	3	26	10	5
LRRC10	0	1	0	0	0	0	0	0	0	0
LRRC10B	2	4	7	1	5	1	1	8	0	0
LRRC14	44	40	35	9	59	55	4	14	12	2
LRRC14B	0	0	0	0	0	0	0	0	0	0
LRRC15	245	31	11	1	8	0	0	2	19	0
LRRC16A	294	119	268	22	329	156	17	105	89	20
LRRC16B	8	0	2	1	2	8	0	1	4	0
LRRC17	5	7	9	2	12	13	1	3	4	1
LRRC18	11	0	3	2	4	5	0	3	0	0
LRRC19	2	6	7	1	5	0	1	1	3	1
LRRC2	17	7	11	0	17	1	5	0	4	1
LRRC2-AS1	2	1	0	0	2	0	0	0	0	0
LRRC20	57	20	34	6	39	25	2	0	27	0
LRRC23	42	19	23	7	63	14	5	17	8	3
LRRC24	0	0	0	0	0	0	0	0	0	0
LRRC25	73	38	59	20	67	3	22	23	4	7
LRRC26	0	0	0	0	0	0	0	0	0	0
LRRC27	54	47	70	7	95	28	2	7	7	2
LRRC28	31	34	32	4	45	14	2	8	3	2
LRRC29	0	4	7	2	8	1	1	0	0	0
LRRC3	25	24	34	0	24	12	1	6	17	1
LRRC3-AS1	0	0	0	0	0	0	0	0	1	0
LRRC30	0	0	0	0	0	0	0	0	0	0
LRRC31	0	1	2	4	6	0	0	2	0	0
LRRC32	769	309	358	103	487	251	29	511	318	43
LRRC34	10	7	10	0	13	9	0	7	1	1
LRRC34P1	0	0	0	0	0	0	0	0	0	0
LRRC34P2	0	0	0	0	0	0	0	0	0	0
LRRC36	1	9	49	2	6	1	1	2	2	0
LRRC37A	25	6	7	0	29	0	1	7	4	0
LRRC37A11P	0	0	0	0	2	0	0	0	0	0
LRRC37A12P	0	0	1	0	0	0	0	0	0	0
LRRC37A13P	0	0	0	0	0	0	0	0	0	0
LRRC37A14P	0	0	0	0	0	0	0	0	0	0
LRRC37A15P	53	24	20	2	41	14	0	4	4	2
LRRC37A16P	41	25	26	0	23	12	2	18	16	6
LRRC37A17P	6	16	19	0	9	20	0	5	4	0
LRRC37A2	268	18	67	2	158	49	0	71	21	4
LRRC37A3	72	16	13	2	40	19	1	10	8	3
LRRC37A4P	0	41	97	4	86	21	0	0	26	4
LRRC37A5P	0	0	0	0	0	0	0	0	0	0
LRRC37A6P	4	6	3	0	1	0	0	0	2	0
LRRC37A7P	2	0	1	0	3	0	0	1	0	0
LRRC37B	105	16	52	7	93	32	2	35	16	9
LRRC37BP1	43	21	24	0	27	4	1	22	3	1
LRRC38	0	0	0	1	1	0	0	0	0	0
LRRC39	3	11	4	0	2	0	0	1	3	0
LRRC3B	0	0	0	0	0	0	0	0	0	0
LRRC3C	0	0	0	0	0	0	0	0	0	0
LRRC4	46	34	48	1	50	16	9	30	34	2
LRRC40	86	38	75	2	114	34	7	16	17	5
LRRC41	264	201	197	42	284	142	29	97	135	45
LRRC42	103	39	50	6	81	34	10	19	34	8
LRRC43	3	0	1	1	5	0	0	17	0	0
LRRC45	20	12	45	5	41	38	0	14	5	0
LRRC46	5	13	15	4	11	3	2	16	0	1
LRRC47	178	88	143	46	189	92	4	40	60	6
LRRC48	9	4	29	4	20	9	0	32	3	1
LRRC49	37	18	35	4	40	25	1	12	12	5
LRRC4B	8	2	14	1	13	8	1	10	2	0
LRRC4C	14	10	10	1	9	2	0	7	1	0
LRRC52	0	0	0	0	0	1	0	0	0	0
LRRC53	0	0	1	0	0	0	0	1	1	0
LRRC55	0	1	0	1	0	0	0	0	0	0
LRRC56	1	10	12	3	16	1	0	2	3	0
LRRC57	597	111	134	22	207	74	17	60	80	16
LRRC58	228	168	217	2	316	182	54	116	162	56
LRRC59	573	298	384	47	566	358	55	147	225	57
LRRC6	64	28	33	0	67	23	3	24	5	4
LRRC61	57	17	20	2	22	8	1	2	12	1
LRRC63	5	1	0	1	8	3	0	0	0	0
LRRC66	1	2	2	0	3	0	0	0	0	0
LRRC69	9	6	4	2	16	1	7	2	6	0
LRRC6P1	0	0	0	0	0	0	0	0	0	0
LRRC7	4	0	0	0	1	0	0	0	3	0
LRRC70	3	2	0	0	0	0	0	1	0	0
LRRC71	6	1	2	0	9	4	0	11	1	0
LRRC72	0	0	0	0	0	0	0	0	0	0
LRRC73	1	0	1	1	2	0	0	1	0	0
LRRC74A	2	0	2	0	1	0	0	0	0	0
LRRC74B	0	0	1	0	3	0	1	5	1	0
LRRC75A	40	11	19	1	42	16	5	9	33	1
LRRC75A-AS1	312	283	354	35	475	172	79	82	171	68
LRRC75B	7	9	13	3	10	9	1	9	9	0
LRRC8A	1185	405	353	89	886	452	36	256	233	41
LRRC8B	161	82	121	1	152	32	21	52	58	16
LRRC8C	265	137	135	4	172	58	27	97	55	8
LRRC8D	120	92	68	5	76	21	12	11	25	2
LRRC8E	0	0	4	0	3	0	0	0	1	0
LRRC9	0	0	0	0	0	0	0	0	0	0
LRRCC1	241	94	83	3	156	60	16	18	22	12
LRRD1	1	0	1	1	0	0	1	0	0	0
LRRFIP1	2991	930	1446	93	2454	971	217	1070	762	285
LRRFIP1P1	29	6	26	2	29	14	2	10	8	1
LRRFIP2	634	226	391	34	628	251	23	246	206	87
LRRIQ1	36	12	18	0	20	10	13	67	5	6
LRRIQ3	5	3	1	0	3	0	0	2	0	0
LRRIQ4	0	0	0	0	1	0	0	0	0	0
LRRK1	497	139	136	24	292	147	16	83	118	10
LRRK2	1123	1683	1346	173	1530	365	306	367	577	299
LRRN1	24	10	25	1	9	2	0	2	7	4
LRRN2	85	15	23	2	22	22	0	6	8	0
LRRN3	43	13	19	3	9	23	3	10	4	3
LRRN4	194	18	73	30	67	4	13	40	0	0
LRRN4CL	2	4	14	4	19	2	0	0	1	8
LRRTM1	0	1	0	0	0	0	0	0	0	0
LRRTM2	111	47	63	7	91	74	17	61	53	13
LRRTM3	1	1	0	0	0	0	0	0	0	0
LRRTM4	3	1	0	4	0	0	1	0	0	1
LRSAM1	99	56	95	18	113	92	5	55	51	4
LRTM1	1	0	0	0	1	0	0	0	0	0
LRTM2	0	0	2	0	0	0	0	0	0	0
LRTOMT	14	19	25	3	36	12	2	7	12	1
LRWD1	33	14	49	18	44	21	2	16	16	3
LSAMP	288	134	208	3	201	143	17	117	53	12
LSAMP-AS1	0	0	0	0	0	0	0	0	0	0
LSG1	292	156	155	26	212	96	8	56	79	16
LSINCT5	0	0	2	2	0	0	0	0	0	0
LSM1	136	41	47	15	92	26	7	18	22	6
LSM10	86	35	21	18	54	14	0	11	10	5
LSM11	35	20	33	4	41	8	6	18	8	5
LSM12	113	58	94	7	92	33	6	14	18	14
LSM12P1	5	0	6	0	3	4	0	0	0	0
LSM14A	1054	409	535	41	803	242	63	263	191	66
LSM14B	153	74	115	10	139	67	10	39	33	8
LSM1P1	0	0	0	0	0	1	0	0	0	0
LSM1P2	0	0	0	0	0	0	0	0	0	0
LSM2	74	29	41	0	64	36	7	6	15	3
LSM3	224	136	206	5	298	22	32	19	35	26
LSM3P2	0	0	0	1	0	0	0	0	0	0
LSM3P3	0	0	0	0	0	0	0	0	0	0
LSM3P4	0	1	0	0	0	0	1	0	0	0
LSM3P5	0	1	0	0	1	0	0	0	0	0
LSM4	176	107	147	15	173	67	9	16	52	11
LSM5	127	90	99	4	117	46	15	11	31	17
LSM6	136	54	86	11	136	22	3	22	26	8
LSM6P2	0	0	0	0	0	0	0	0	0	0
LSM7	90	49	82	12	75	18	3	4	22	1
LSM8	91	111	146	5	150	35	20	54	48	16
LSMEM1	63	7	8	0	9	3	1	26	6	1
LSMEM2	0	0	0	0	0	0	0	2	0	0
LSP1	229	191	657	52	446	39	8	158	36	35
LSP1P2	0	0	0	0	0	0	0	0	0	0
LSP1P3	0	0	0	0	0	0	0	0	0	0
LSR	256	91	133	36	207	47	9	18	74	7
LSS	276	93	301	59	352	120	11	50	31	51
LST1	113	46	164	12	125	14	15	25	3	3
LTA	3	1	2	1	3	0	0	1	1	0
LTA4H	784	507	806	60	770	123	92	311	174	98
LTB	23	6	39	11	20	2	1	3	0	0
LTB4R	64	15	59	23	52	15	5	21	36	8
LTB4R2	12	9	14	7	18	3	1	15	7	0
LTBP1	1159	426	552	55	1267	207	36	238	95	79
LTBP2	2955	1026	1341	229	2761	1464	78	780	379	157
LTBP3	592	350	536	98	698	301	24	231	161	34
LTBP4	414	160	267	109	398	316	19	564	96	25
LTBR	770	514	583	67	698	464	86	238	281	67
LTC4S	0	0	1	1	0	0	0	0	0	0
LTF	181	115	1175	54	1947	21	11	10	53	8
LTK	6	4	12	7	7	19	0	66	3	0
LTN1	377	172	204	16	292	98	16	92	103	34
LTV1	207	117	123	6	197	98	9	55	56	12
LTV1P1	0	0	1	0	0	0	0	0	0	0
LUC7L	407	198	367	63	521	161	17	194	146	32
LUC7L2	0	0	0	0	0	0	0	0	0	0
LUC7L3	3046	1131	1946	360	2853	970	47	589	569	131
LUCAT1	28	74	30	4	44	33	4	46	105	6
LUM	4899	2149	2860	43	3349	1062	242	297	733	677
LURAP1	3	12	3	0	19	1	1	0	4	1
LURAP1L	202	52	69	6	124	83	4	36	60	17
LURAP1L-AS1	1	0	1	0	5	0	0	0	2	0
LUZP1	835	280	451	41	615	250	43	369	181	38
LUZP2	16	0	3	1	1	0	0	2	0	4
LUZP4	0	0	0	0	0	0	0	0	0	0
LUZP4P1	0	0	0	0	0	0	0	0	0	0
LUZP6	0	0	0	0	0	0	0	0	0	0
LXN	178	107	193	2	234	46	12	20	27	10
LY6D	0	0	0	1	8	0	0	0	0	0
LY6E	1111	196	524	123	618	177	49	84	231	22
LY6G5B	7	3	3	1	15	10	1	14	5	1
LY6G5C	12	1	2	1	5	0	0	0	0	0
LY6G6C	2	0	0	0	0	1	0	0	0	0
LY6G6D	1	0	0	0	0	0	0	1	0	0
LY6G6E	4	0	12	1	21	0	0	2	0	0
LY6G6F	0	0	0	0	0	0	0	0	0	0
LY6H	0	1	1	0	0	0	0	0	0	0
LY6K	1	1	0	0	1	0	0	0	0	0
LY75	18	16	14	1	23	5	2	8	3	2
LY75-CD302	0	0	0	0	0	0	0	0	0	0
LY86	12	10	36	1	22	2	0	4	0	1
LY86-AS1	0	0	2	0	5	1	1	2	1	0
LY9	20	25	27	1	33	1	0	41	3	0
LY96	128	56	33	0	51	2	6	10	6	19
LYAR	313	92	119	10	221	69	15	47	66	8
LYARP1	0	0	0	0	0	0	0	0	0	0
LYG1	2	4	6	0	8	3	0	1	0	0
LYG2	1	0	0	0	0	0	0	0	0	0
LYL1	76	18	59	11	67	35	3	8	17	4
LYN	493	236	364	61	491	109	100	296	155	82
LYNX1	44	30	20	10	33	27	10	9	6	1
LYPD1	12	3	2	1	2	1	0	0	1	0
LYPD2	1	1	0	0	1	0	0	0	0	0
LYPD3	11	1	2	0	22	2	1	0	0	0
LYPD4	0	0	1	1	0	0	0	0	0	0
LYPD5	175	11	32	4	49	9	0	26	3	1
LYPD6	0	0	3	0	2	0	0	0	1	0
LYPD6B	2	1	0	0	0	0	0	4	0	0
LYPD8	0	0	0	1	0	0	0	0	0	0
LYPLA1	202	126	199	8	257	59	22	26	46	29
LYPLA1P1	0	1	0	0	0	0	0	0	0	0
LYPLA1P2	0	0	0	0	0	0	0	0	0	0
LYPLA1P3	0	1	1	0	0	0	0	0	0	0
LYPLA2	78	74	58	23	134	46	7	3	23	10
LYPLA2P1	0	0	1	0	0	0	0	0	0	0
LYPLA2P2	0	0	0	0	0	0	0	0	0	0
LYPLA2P3	0	0	0	0	0	0	0	0	0	0
LYPLAL1	100	67	58	2	75	21	10	10	21	9
LYPLAL1-AS1	0	0	0	0	1	0	0	0	0	0
LYRM1	81	61	43	6	68	6	4	13	28	15
LYRM2	117	87	101	11	160	43	22	13	47	18
LYRM4	43	16	23	2	39	13	1	7	10	3
LYRM5	70	47	77	8	102	11	6	13	4	14
LYRM7	83	47	79	6	74	44	3	16	41	6
LYRM9	2	8	9	7	14	7	1	1	2	2
LYSMD1	46	18	26	2	76	21	3	19	24	6
LYSMD2	127	20	65	7	44	15	9	15	11	4
LYSMD3	306	99	120	8	173	79	19	72	74	27
LYSMD4	18	19	17	3	32	16	5	16	18	0
LYST	1116	533	967	43	1390	373	35	510	291	112
LYST-AS1	2	5	9	0	4	0	0	8	0	11
LYVE1	351	375	332	24	486	35	19	28	106	100
LYZ	1100	1382	2401	150	2125	28	83	565	122	110
LYZB	0	0	0	0	0	0	0	0	0	0
LYZL1	0	0	0	0	0	0	0	0	0	0
LYZL2	0	0	0	1	0	0	0	0	0	0
LYZL4	0	0	0	0	0	0	0	0	0	0
LYZL6	0	0	0	0	0	0	0	0	0	0
LZIC	149	122	153	7	179	65	8	43	33	28
LZTFL1	72	41	49	7	68	21	20	16	25	9
LZTR1	231	149	180	30	239	194	11	98	82	8
LZTS1	48	43	44	17	113	40	6	27	14	0
LZTS1-AS1	1	1	0	0	3	0	0	0	0	0
LZTS2	355	155	198	54	291	216	16	133	114	10
LZTS3	47	42	64	22	57	41	5	40	44	4
M	3853	5	0	0	8	0	0	0	0	0
M1AP	0	1	10	0	3	1	0	0	0	0
M6PR	557	301	395	35	476	111	76	102	127	54
MAATS1	23	10	13	2	44	16	4	36	4	1
MAB21L1	10	0	6	1	4	0	0	1	1	0
MAB21L2	12	11	15	3	8	8	1	6	6	1
MAB21L3	5	0	6	0	3	0	0	0	3	0
MACC1	109	105	186	9	175	72	25	55	85	11
MACC1-AS1	0	1	0	0	0	2	0	0	0	0
MACF1	18156	6601	9964	977	14051	7710	616	8167	3781	858
MACROD1	13	3	10	13	17	10	4	1	3	2
