	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21
RP11-120K18.3	8	1	15	8	3	2	0	1	0	0	3	3	8	1	1	0	14	2	0	5	9
RP11-120K19.3	12	0	22	23	6	35	5	4	0	2	1	16	15	5	1	0	7	0	21	1	9
RP11-120K19.4	2	0	5	0	0	7	1	0	2	0	0	2	1	1	0	0	0	0	0	0	4
RP11-120K24.3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
RP11-120K24.4	0	0	9	1	0	11	6	0	0	0	4	4	1	1	1	0	1	0	0	0	1
RP11-120K24.5	0	1	7	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-120K9.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-120M18.2	2	1	2	4	1	6	0	0	0	1	1	0	3	0	1	0	1	0	0	0	3
RP11-120M18.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1212A22.1	53	1	17	18	0	34	7	3	0	2	1	2	18	4	5	0	0	0	0	3	5
RP11-1212A22.4	1	0	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
RP11-1212A22.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1212A22.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1217F2.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1217F2.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1217F2.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RP11-1217F2.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1217F2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1217F2.7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1217F2.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-121A13.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-121A14.2	0	2	2	1	0	0	0	0	0	1	1	0	6	0	0	0	0	0	0	0	0
RP11-121A14.3	1	0	0	1	0	2	0	0	0	0	0	2	4	3	0	0	0	0	0	0	4
RP11-121A8.1	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0
RP11-121C1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-121C2.2	3	1	45	12	1	20	2	1	0	1	3	1	1	2	1	0	0	0	9	1	9
RP11-121C6.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-121C6.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RP11-121E16.1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-121G22.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RP11-121J20.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-121L10.2	2	0	0	1	0	28	8	7	0	1	0	0	4	0	0	0	0	0	1	0	0
RP11-121L11.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-121M22.1	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0
RP11-121P10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1220K2.2	0	0	9	1	1	38	10	10	5	4	0	0	2	0	1	0	1	0	2	3	0
RP11-1221G12.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1221G12.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1223D19.1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
RP11-1228E12.1	1	0	1	0	0	3	0	0	0	0	0	1	12	0	0	0	0	0	0	0	1
RP11-1228E12.2	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-122A21.2	0	0	1	1	0	1	0	0	0	0	1	0	2	0	1	0	0	0	1	0	6
RP11-122C21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-122C5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-122C5.3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-122D10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-122F24.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-122G18.7	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
RP11-122G18.9	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RP11-122K13.12	12	0	2	1	0	0	0	0	0	4	1	4	0	2	3	0	0	0	0	1	1
RP11-122K13.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-122K13.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-122L4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-122L4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-122L9.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-122M14.1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0
RP11-122M14.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1236K1.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1236K1.8	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
RP11-123B3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-123C21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-123C21.2	0	0	3	0	0	8	0	0	0	0	0	1	6	1	0	0	3	0	0	0	0
RP11-123C21.3	0	0	3	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
RP11-123C5.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
RP11-123G9.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-123I22.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-123J14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-123J14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-123K19.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-123K19.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-123K3.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-123K3.9	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-123M21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-123M21.2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
RP11-123M6.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-123N4.4	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RP11-123O1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-123O10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-123O10.3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-123O10.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-123O22.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1246C19.1	2	0	1	2	0	10	1	1	0	1	0	1	5	1	0	0	0	0	0	0	0
RP11-124A7.1	0	0	2	2	0	5	0	0	0	1	0	1	5	0	0	0	0	0	2	0	0
RP11-124B13.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-124D2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-124D2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-124D2.7	0	0	0	3	0	0	1	0	0	0	0	0	2	2	0	0	1	0	0	0	0
RP11-124D9.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RP11-124G5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-124G5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-124G5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-124I4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-124L9.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-124L9.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-124L9.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-124L9.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-124N14.3	11	0	4	8	1	22	3	2	1	7	2	6	9	2	4	0	6	0	13	8	8
RP11-124N19.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-124N2.1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-124N3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RP11-124N3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-124O11.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1250I15.1	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
RP11-1250I15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RP11-1250I15.3	1	0	0	0	0	3	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0
RP11-1252D15.1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
RP11-1252I4.2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1258F18.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RP11-1259L22.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1259L22.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-125A15.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-125D12.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-125D12.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-125H8.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-125K10.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-125M16.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-125N22.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-125N22.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-125N22.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-125N22.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-125O18.1	0	0	0	0	0	1	1	0	0	5	0	0	0	4	0	0	1	0	0	0	5
RP11-125O5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1260E13.1	1	0	0	1	0	2	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0
RP11-1260E13.2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	6	0	0
RP11-1260E13.3	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
RP11-1260E13.4	3	0	3	5	0	13	4	1	0	2	1	1	7	1	0	1	2	0	2	1	1
RP11-1263C18.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1264N5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1267H10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1267H10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1267H10.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1267H10.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-126D17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-126F18.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-126H7.4	0	0	9	7	0	2	2	1	0	1	0	2	5	0	0	0	4	0	2	4	4
RP11-126K1.2	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
RP11-126K1.6	0	1	0	0	0	3	0	0	0	0	1	3	8	0	0	0	0	0	0	1	0
RP11-126K1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-126K1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-126K15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-126L15.4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
RP11-126M14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-126O1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-126O1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-126O1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-126O1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-126O22.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
RP11-1275H24.1	1	1	1	0	0	3	1	2	1	4	5	2	13	1	0	0	1	0	1	2	3
RP11-1275H24.2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
RP11-1275H24.3	0	0	1	2	0	0	1	0	1	0	3	0	3	0	0	0	0	0	0	1	3
RP11-1275J23.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1275J23.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1277A3.1	7	2	5	7	0	8	3	1	1	5	6	10	9	4	4	0	2	0	3	3	5
RP11-1277A3.2	35	0	10	11	0	14	5	4	1	9	1	11	17	2	2	0	6	0	21	11	9
RP11-1277A3.3	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RP11-1277H1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-127B16.1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RP11-127B20.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-127B20.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-127H13.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-127I20.5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1
RP11-127I20.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-127I20.8	2	0	3	2	5	2	2	2	0	2	1	0	2	3	1	0	0	0	6	0	2
RP11-127L20.3	9	2	13	7	2	17	4	1	0	1	2	4	0	1	1	0	0	1	1	1	7
RP11-127L20.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-127L21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-127O4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-127O4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1280N14.3	3	1	4	4	1	9	1	2	0	1	2	4	5	1	0	0	0	0	0	0	1
RP11-1281K21.1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
RP11-1281K21.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1281K21.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1281K21.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1281K21.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1281K21.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1281K21.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RP11-1281K21.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-128A17.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
RP11-128A17.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-128A6.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-128B16.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-128D14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-128I7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-128L5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-128M1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-128N14.4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-128N14.5	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
RP11-128P10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-128P17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-128P17.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-128P17.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-128P17.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1292F20.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1293J14.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RP11-1293J14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1293J14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1299A16.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1299A16.3	0	0	0	1	0	0	0	0	0	2	1	0	7	1	1	0	1	0	1	0	0
RP11-129B9.1	0	0	3	0	0	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
RP11-129B9.2	0	0	0	1	0	1	0	0	0	0	1	1	4	1	1	0	0	0	0	0	1
RP11-129G17.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-129H15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-129H15.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-129H15.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-129I19.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-129J12.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-129K12.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-129M16.4	0	0	3	1	0	1	0	0	0	0	0	0	2	3	0	0	1	0	0	0	2
RP11-129M6.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
RP11-129O7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12A16.3	5	0	3	2	0	1	2	0	0	0	0	0	5	0	1	0	0	0	2	0	0
RP11-12A2.1	0	0	1	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	1	0	2
RP11-12A2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RP11-12A20.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12A20.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12A20.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12A20.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12A20.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12A20.6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12A20.7	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12A20.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12C17.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12D16.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12D24.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12D24.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12D5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RP11-12D5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12D5.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12D5.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12D5.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12G12.7	1	0	0	7	1	0	0	0	0	0	1	0	9	1	0	0	4	0	1	3	1
RP11-12J10.3	1	1	0	2	0	0	0	0	0	0	1	1	4	3	0	0	0	0	1	0	2
RP11-12J10.4	1	1	1	4	0	3	1	0	0	0	4	1	1	1	1	0	2	0	1	0	0
RP11-12K11.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12K11.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12K22.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12K6.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12L8.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12L8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12M5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12M5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12M5.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12M9.3	1	0	1	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0
RP11-12M9.4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
RP11-12N13.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12N13.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12N13.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12N13.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12O16.1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
RP11-12P19.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-12P19.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1305N21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1305N21.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-130C19.3	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	1
RP11-130C6.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RP11-130F10.1	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	3	0
RP11-130L8.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-130L8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RP11-130N24.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1315F8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1319K7.1	2	1	9	2	0	8	0	3	1	0	8	2	2	1	0	0	2	0	1	1	3
RP11-131H24.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-131H24.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-131J3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-131J4.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RP11-131K17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
